#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data-eng,"english language pack for OCR"

#Schlop Additions
#Desktop and general setup
A,aseprite,"aseprite is nice for pixel art"
,gimp,"opensource image editing software"
,firefox,"I like to have multiple browser options"
,chromium,"I like to have multiple browser options"
,helix,"Text editor that replaces neovim, pluggins and lsp setup for programming is easier"
,code,"visual studio code for text editor option"
,nicotine+,"peer to peer downloading and file sharing"
,transmission-cli,"torrenting with command line"
,transmission-gtk,"torrenting with gui"
,ollama,"local AI"
,obsidian,"note taking application"
A,obs-studio-tytan652,"OBS studio with pluggins and browser feature for streaming with chat"
,reaper,"Music DAW"
,discord,"Messaging app, don't use if your into privacy"
,syncthing,"Sync files between other computers"


#Java Game development
,intellij-idea-community-edition,"A good Java IDE for game development and mod making"
,jdk-openjdk,"Various java development kits"
,jdk17-openjdk,""
A,jdk17-temurin,""
,jdk21-openjdk,""

# Nvidia drivers
,nvidia-open-dkms,"nvidia drivers that don't need a pacman.hook when updating"
,nvidia-utils,"nvidia utility"
,opencl-nvidia,"nvida opencl"

#Font setup
,ttf-nerd-fonts-symbols, "Font symbols for my desktop icons"
,ttf-nerd-fonts-symbols-common,"common symbols"
,ttf-nerd-fonts-symbols-mono,"mono symbols"

A,moonlight-qt,"GUI for remote desktop"

#Pentesting applications

,nmap,"used for port analysis and general networking testing"
A,gobuster,"used for directory brute force"
,hexedit,"Editor for hexcode"
,ghidra,"binary exploitation tool / malware analysis"
,gnu-netcat,"used for listening to ports and enumeration"
A,dirsearch,"searching dirs"
,exploitdb,"database from OffSec that contains different CVEs"
A,google-earth-pro,"OSINT with google earth not opensource, I only use it for CTFs"
,hydra,"login brute forcing and general brute forcing tool"
,impacket,"library of python scripts for active directory enumeration etc, classes for network protocols"
A,caido-desktop,"web app pentesting tool, basically just burpsuite but not rate limited"
A,binaryninja-free,"Another binary viewer tool for malware analysis"
,plocate,"locate files easier"
,putty,"A terminal integrated SSH/Telnet client"
,john,"john the ripper password recovery util"
,hashcat,"Multithreaded advanced password util"
,remmina,"remote desktop client"
A,trufflehog,"git sniffer"
A,netexec,"spidering and enunemrating various clients for active directory"



#Virt-manager and VM setup
# I reccomend looking at the arch wiki for virt-manager and qemu before using this. It will not be setup properly out of box.

,libvirt,"Virtualization middleware, its a daemon and management tool for virtualization with KVM, QEMU and LXC?"
,virt-manager,"front end for virtualization"

,qemu-full,"qemu emuluation suite has both desktop and cli features"
,iptables,"firewall stuff that is needed for virtualization"
,bridge-utils,"bridging ethernet connections"
,dnsmasq,"lightweight, easy to configure DNS forwarder and DHCP server"
,vde2,"Virtual Distributed Ethernet for emulators like qemu"
,libguestfs,"Access and modify virtual machine disk images"


# You have to do systemctl restart libvirt, or if your using runit, download runit versions of all the packages
# There are multiple daemons required to allow virt-manager to work properly. If you set everything up,
# and only see LXC avaliable its because you have to go File > Add Connection in virt-manager  and add QEMU & KVM.

# Need to put 'firewall_backend = "iptables" in /etc/libvirt/network.conf otherwise internet will not work on VM'
